,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
199,MARQUETTE UNIVERSITY,2,1127477,Private Institution of Higher Education
,MIRACOSTA COMMUNITY COLLEGE DISTRICT,1,649986,Public Institution of Higher Education
,MONTGOMERY COLLEGE,2,2846686,Public Institution of Higher Education
200,MARYMOUNT UNIVERSITY,1,1972146,Private Institution of Higher Education
201,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,23,12178380,Private Institution of Higher Education
202,MCMURRY UNIVERSITY,1,735023,Private Institution of Higher Education
203,MEHARRY MEDICAL COLLEGE,3,1932071,Private Institution of Higher Education
204,MERCER COUNTY COMMUNITY COLLEGE,1,87479,Public Institution of Higher Education
205,MERRIMACK COLLEGE,1,286418,Private Institution of Higher Education
206,METROPOLITAN STATE UNIVERSITY OF DENVER,3,2242429,Public Institution of Higher Education
207,MIAMI UNIVERSITY,4,1217492,Public Institution of Higher Education
208,MICHIGAN STATE UNIVERSITY,38,29768097,Public Institution of Higher Education
209,MICHIGAN TECHNOLOGICAL UNIVERSITY,4,2460054,Public Institution of Higher Education
210,MIDDLE TENNESSEE STATE UNIVERSITY,3,1555388,Public Institution of Higher Education
211,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA,1,1215079,Public Institution of Higher Education
212,MINNESOTA STATE COLLEGES & UNIVERSITIES,1,2499950,Public Institution of Higher Education
213,MISSISSIPPI GULF COAST COMMUNITY COLLEGE,1,399688,Public Institution of Higher Education
214,MISSISSIPPI STATE UNIVERSITY,7,5625044,Public Institution of Higher Education
215,MISSISSIPPI VALLEY STATE UNIVERSITY,1,244232,Public Institution of Higher Education
216,MISSOURI STATE UNIVERSITY,1,1499928,Public Institution of Higher Education
217,MISSOURI WESTERN STATE UNIVERSITY,1,393461,Public Institution of Higher Education
218,MOLLOY UNIVERSITY,1,407527,Private Institution of Higher Education
219,MONTANA STATE UNIVERSITY,9,10224484,Public Institution of Higher Education
220,MONTANA TECHNOLOGICAL UNIVERSITY,2,1304199,Public Institution of Higher Education
221,MONTCLAIR STATE UNIVERSITY,5,1198227,Public Institution of Higher Education
222,MORAVIAN UNIVERSITY,1,364440,Private Institution of Higher Education
